# Logfile created on 2026-03-24 15:52:29 +0100 by logger.rb/v1.4.3
2026-03-24 15:52:29 +0100: Memory Usage (432604K) : psd_drw has 35 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432604K) : nldb_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432732K) : digibnd_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432732K) : via1_drw has 40 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432732K) : backmetal1_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432860K) : backmetal1_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432860K) : backmetal1_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432988K) : backmetal1_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432988K) : backmetal1_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (432988K) : backmetal1_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433116K) : backmetal1_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433116K) : backmetal1_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433244K) : backmetal1_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433244K) : backmetal1_res has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433244K) : backmetal1_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433372K) : backmetal1_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433372K) : backpassiv_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433500K) : res_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433500K) : sram_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433500K) : trans_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433500K) : ind_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433628K) : ind_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433628K) : ind_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433628K) : salblock_drw has 3 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433756K) : via2_drw has 13 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433756K) : metal3_drw has 20 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433884K) : metal3_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433884K) : metal3_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (433884K) : metal3_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434012K) : metal3_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434012K) : metal3_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434140K) : metal3_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434140K) : metal3_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434140K) : metal3_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434268K) : metal3_res has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434268K) : metal3_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434396K) : metal3_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434396K) : nwell_drw has 26 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434524K) : nwell_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434524K) : nbulay_drw has 0 polygons
